"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 07:10:45 GMT 2024","Thu Jun 06 07:10:45 GMT 2024","679","tests","test_input_page","TestInputPage","","","test_input",""
"passed","Thu Jun 06 07:10:58 GMT 2024","Thu Jun 06 07:10:59 GMT 2024","667","tests","test_table_page","TestTablePage","","","test_table_page_lets_handle_it",""
"passed","Thu Jun 06 07:11:14 GMT 2024","Thu Jun 06 07:11:16 GMT 2024","1476","tests","test_windows_page","TestWindowsPage","","","test_windows_page_multiple_windows",""
"passed","Thu Jun 06 07:10:42 GMT 2024","Thu Jun 06 07:10:43 GMT 2024","1062","tests","test_form_page","TestFormPage","","","test_form_page_fill_fields",""
"passed","Thu Jun 06 07:10:47 GMT 2024","Thu Jun 06 07:10:47 GMT 2024","762","tests","test_radio_page","TestRadioPage","","","test_radio_page",""
"passed","Thu Jun 06 07:10:22 GMT 2024","Thu Jun 06 07:10:23 GMT 2024","911","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_btn_sort_website",""
"passed","Thu Jun 06 07:10:48 GMT 2024","Thu Jun 06 07:10:48 GMT 2024","548","tests","test_select_page","TestSelectPage","","","test_select_page",""
"passed","Thu Jun 06 07:10:46 GMT 2024","Thu Jun 06 07:10:46 GMT 2024","731","tests","test_multiselect_page","TestMultiselectPage","","","test_multiselect_page",""
"passed","Thu Jun 06 07:10:40 GMT 2024","Thu Jun 06 07:10:40 GMT 2024","555","tests","test_file_page","TestFilePage","","","test_file_page_upload",""
"passed","Thu Jun 06 07:10:43 GMT 2024","Thu Jun 06 07:10:44 GMT 2024","1038","tests","test_frame_page","TestFramePage","","","test_frame_page",""
"failed","Thu Jun 06 07:10:28 GMT 2024","Thu Jun 06 07:10:34 GMT 2024","6251","tests","test_calendar_page","TestCalendarPage","","","test_calendar_page",""
"passed","Thu Jun 06 07:10:38 GMT 2024","Thu Jun 06 07:10:39 GMT 2024","871","tests","test_file_page","TestFilePage","","","test_file_page_downloads",""
"passed","Thu Jun 06 07:10:16 GMT 2024","Thu Jun 06 07:10:17 GMT 2024","734","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_btn_previous",""
"passed","Thu Jun 06 07:10:24 GMT 2024","Thu Jun 06 07:10:25 GMT 2024","1338","tests","test_alert_page","TestAlertPage","","","test_alert_page",""
"failed","Thu Jun 06 07:10:41 GMT 2024","Thu Jun 06 07:10:41 GMT 2024","692","tests","test_form_page","TestFormPage","","","test_form_page_validate",""
"passed","Thu Jun 06 07:10:34 GMT 2024","Thu Jun 06 07:10:35 GMT 2024","832","tests","test_drag_page","TestDragPage","","","test_drag_page",""
"passed","Thu Jun 06 07:10:10 GMT 2024","Thu Jun 06 07:10:11 GMT 2024","1145","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_search",""
"passed","Thu Jun 06 07:11:07 GMT 2024","Thu Jun 06 07:11:12 GMT 2024","5034","tests","test_wait_page","TestWaitPage","","","test_wait_page",""
"passed","Thu Jun 06 07:11:04 GMT 2024","Thu Jun 06 07:11:05 GMT 2024","974","tests","test_table_page","TestTablePage","","","test_table_page_sortable_protein",""
"failed","Thu Jun 06 07:11:02 GMT 2024","Thu Jun 06 07:11:03 GMT 2024","721","tests","test_table_page","TestTablePage","","","test_table_page_sortable_fat",""
"passed","Thu Jun 06 07:11:06 GMT 2024","Thu Jun 06 07:11:07 GMT 2024","903","tests","test_table_page","TestTablePage","","","test_table_page_sortable_cholesterol",""
"passed","Thu Jun 06 07:10:12 GMT 2024","Thu Jun 06 07:10:13 GMT 2024","1012","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_switch_page",""
"passed","Thu Jun 06 07:10:14 GMT 2024","Thu Jun 06 07:10:14 GMT 2024","846","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_btn_next",""
"passed","Thu Jun 06 07:11:03 GMT 2024","Thu Jun 06 07:11:04 GMT 2024","902","tests","test_table_page","TestTablePage","","","test_table_page_sortable_carbs",""
"passed","Thu Jun 06 07:10:59 GMT 2024","Thu Jun 06 07:11:00 GMT 2024","882","tests","test_table_page","TestTablePage","","","test_table_page_sortable_dessert",""
"passed","Thu Jun 06 07:10:21 GMT 2024","Thu Jun 06 07:10:22 GMT 2024","870","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_btn_sort_country",""
"passed","Thu Jun 06 07:11:01 GMT 2024","Thu Jun 06 07:11:01 GMT 2024","949","tests","test_table_page","TestTablePage","","","test_table_page_sortable_calories",""
"passed","Thu Jun 06 07:10:57 GMT 2024","Thu Jun 06 07:10:58 GMT 2024","577","tests","test_table_page","TestTablePage","","","test_table_page_shopping_price",""
"passed","Thu Jun 06 07:10:50 GMT 2024","Thu Jun 06 07:10:51 GMT 2024","726","tests","test_slider_page","TestSliderPage","","","test_slider_page",""
"passed","Thu Jun 06 07:10:49 GMT 2024","Thu Jun 06 07:10:50 GMT 2024","727","tests","test_shadow_page","TestShadowPage","","","test_shadow_page",""
"passed","Thu Jun 06 07:11:12 GMT 2024","Thu Jun 06 07:11:14 GMT 2024","1730","tests","test_windows_page","TestWindowsPage","","","test_windows_page_home_page",""
"passed","Thu Jun 06 07:10:35 GMT 2024","Thu Jun 06 07:10:36 GMT 2024","819","tests","test_drop_page","TestDropPage","","","test_drop_page",""
"failed","Thu Jun 06 07:10:26 GMT 2024","Thu Jun 06 07:10:27 GMT 2024","1350","tests","test_button_page","TestButtonPage","","","test_button_page",""
"passed","Thu Jun 06 07:10:37 GMT 2024","Thu Jun 06 07:10:38 GMT 2024","1078","tests","test_elements_page","TestElementsPage","","","test_elements_page",""
"passed","Thu Jun 06 07:10:17 GMT 2024","Thu Jun 06 07:10:18 GMT 2024","776","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_btn_first",""
"passed","Thu Jun 06 07:10:51 GMT 2024","Thu Jun 06 07:10:57 GMT 2024","5724","tests","test_sort_page","TestSortPage","","","test_sort_page",""
"passed","Thu Jun 06 07:10:15 GMT 2024","Thu Jun 06 07:10:16 GMT 2024","815","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_btn_last",""
"passed","Thu Jun 06 07:10:11 GMT 2024","Thu Jun 06 07:10:12 GMT 2024","659","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_count_row",""
"passed","Thu Jun 06 07:10:20 GMT 2024","Thu Jun 06 07:10:21 GMT 2024","925","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_btn_sort_university",""
"passed","Thu Jun 06 07:10:18 GMT 2024","Thu Jun 06 07:10:19 GMT 2024","835","tests","test_advanced_table_page","TestAdvancedTablePage","","","test_advanced_table_page_btn_sort_s_no",""
